pair_key,edge_observations,expected_edge,expected_edge_bps,edge_hit_rate,minimum_edge_bps,edge_pass
EEM|EWT,107,0.0005456457065269183,5.456457065269183,0.5607476635514018,2.0,True
EEM|SMH,107,0.0013421039981309545,13.421039981309544,0.5794392523364486,2.0,True
EFA|EWJ,107,0.00012478201434190233,1.2478201434190233,0.5233644859813084,2.0,False
EFA|IWM,107,-0.00031046724011432006,-3.1046724011432008,0.514018691588785,2.0,False
EFA|XLB,107,0.0007093475954546961,7.093475954546961,0.5700934579439252,2.0,True
EFA|XLI,107,0.000346226346820041,3.46226346820041,0.5514018691588785,2.0,True
IWM|VGK,107,0.000289699860007686,2.8969986000768597,0.5700934579439252,2.0,True
IWM|XLB,107,0.00042239145643350524,4.223914564335052,0.5420560747663551,2.0,True
IWM|XLY,107,0.0007044351215157936,7.044351215157937,0.6074766355140186,2.0,True
IWM|XRT,107,5.115755344024624e-06,0.051157553440246244,0.514018691588785,2.0,False
KRE|XLF,107,-0.00032900544834165736,-3.2900544834165735,0.45794392523364486,2.0,False
KRE|XLI,107,0.0002466174000481431,2.466174000481431,0.514018691588785,2.0,True
SMH|XLK,107,-0.0002145433959353738,-2.145433959353738,0.45794392523364486,2.0,False
SMH|XLY,107,0.0003271716556809921,3.271716556809921,0.5420560747663551,2.0,True
VGK|XLB,107,0.0013140208752050134,13.140208752050134,0.5794392523364486,2.0,True
VGK|XLI,107,0.0007413318793134067,7.413318793134067,0.5887850467289719,2.0,True
XLB|XLF,107,0.0008689496728817602,8.689496728817602,0.5794392523364486,2.0,True
XLB|XLI,107,0.00017884361388770863,1.7884361388770864,0.5327102803738317,2.0,False
XLF|XLI,107,0.00034100769326983384,3.4100769326983382,0.5794392523364486,2.0,True
XLY|XRT,107,0.00032417294722794014,3.2417294722794012,0.5794392523364486,2.0,True
