,value
gross_annualized_return,0.010584448606942853
gross_annualized_volatility,0.010321875323919314
gross_sharpe_ratio,1.0252170224350368
gross_sortino_ratio,0.5603578732929276
gross_calmar_ratio,0.7766000795972727
gross_max_drawdown,-0.01362921390947025
gross_hit_rate,0.05884543761638734
annualized_return,0.006212682225990918
annualized_volatility,0.010264392693026453
sharpe_ratio,0.6085185053668998
sortino_ratio,0.464808761856663
calmar_ratio,0.32903798188737743
max_drawdown,-0.018881352816336516
hit_rate,0.05698324022346369
average_daily_turnover,0.0688268156424581
average_transaction_cost,1.7206703910614524e-05
average_gross_exposure,0.03441340782122905
average_net_exposure,0.0
market_beta_spy,0.0032134507376863812
average_IC,0.03766415208193898
average_rank_IC,0.03944595343936727
IC_t_stat,5.220243212443023
rank_IC_t_stat,5.446628730885221
